Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,859.179993,874.340027,854.469971,870.559998,868.545044,68400
2017-10-16,870.900024,890.940002,865.809998,888.000000,885.944641,86300
2017-10-23,889.010010,896.989990,885.570007,892.590027,890.524109,103300
2017-10-30,892.150024,903.260010,881.059998,886.799988,884.747498,110700
2017-11-06,883.780029,897.000000,874.500000,887.869995,885.815002,92900
2017-11-13,885.429993,889.900024,864.890015,870.969971,868.954102,77000
2017-11-20,868.020020,882.169983,865.099976,877.000000,874.970154,57100
2017-11-27,878.890015,896.989990,874.010010,887.190002,885.136597,103300
2017-12-04,892.570007,892.570007,866.979980,868.210022,866.200500,96300
2017-12-11,869.450012,876.520020,857.260010,861.650024,859.655701,106000
2017-12-18,863.510010,865.340027,845.099976,846.000000,844.041931,105800
2017-12-25,844.960022,855.960022,841.330017,851.280029,849.309753,53200
2018-01-01,852.469971,858.090027,843.349976,853.119995,851.145447,61400
2018-01-08,850.900024,852.760010,834.500000,834.500000,832.568542,96300
2018-01-15,833.630005,848.000000,832.010010,841.270020,839.322876,65900
2018-01-22,841.210022,854.989990,840.000000,848.000000,846.037292,68300
2018-01-29,846.710022,853.489990,835.219971,836.690002,834.753479,84400
2018-02-05,834.979980,835.450012,786.229980,803.010010,801.151428,134800
2018-02-12,807.229980,826.039978,799.369995,822.000000,820.097412,166600
2018-02-19,818.739990,821.489990,801.950012,809.520020,807.646362,71000
2018-02-26,811.650024,820.000000,798.000000,811.299988,809.422180,125700
2018-03-05,808.239990,836.500000,808.239990,834.690002,832.758057,94200
2018-03-12,834.330017,839.000000,810.200012,816.070007,814.181152,151200
2018-03-19,814.570007,823.969971,800.250000,802.330017,801.457458,176600
2018-03-26,809.419983,822.520020,804.960022,822.520020,821.625488,139700
2018-04-02,819.450012,827.979980,805.299988,810.979980,810.098022,162600
2018-04-09,816.000000,866.000000,804.400024,856.000000,855.069031,319100
2018-04-16,859.799988,869.000000,854.390015,861.289978,860.353271,278800
2018-04-23,861.419983,868.039978,860.750000,867.169983,866.226868,189500
2018-04-30,867.500000,869.989990,858.229980,860.150024,859.214600,390800
2018-05-07,859.260010,885.760010,858.000000,885.000000,884.037537,304600
2018-05-14,885.000000,899.130005,875.000000,881.500000,880.541321,268600
2018-05-21,883.200012,909.450012,880.530029,906.979980,905.993591,159300
2018-05-28,902.500000,914.349976,899.000000,904.400024,903.416443,111200
2018-06-04,907.000000,920.210022,893.880005,913.929993,912.936035,114100
2018-06-11,912.109985,915.739990,896.909973,908.119995,907.132385,202900
2018-06-18,905.380005,933.700012,896.450012,915.219971,914.224609,221200
2018-06-25,912.520020,916.549988,892.059998,906.609985,905.624023,127100
2018-07-02,904.119995,909.630005,895.010010,909.630005,908.640747,42200
2018-07-09,909.599976,918.719971,904.390015,910.369995,909.379944,76200
2018-07-16,910.130005,916.510010,904.000000,910.669983,909.679565,51800
2018-07-23,911.150024,916.500000,900.039978,907.570007,906.583008,50700
2018-07-30,909.690002,939.090027,903.390015,936.900024,935.881104,64800
2018-08-06,940.489990,946.520020,931.750000,940.929993,939.906677,85600
2018-08-13,939.059998,944.940002,929.119995,929.940002,928.928650,98900
2018-08-20,929.020020,936.650024,920.049988,929.869995,928.858704,62900
2018-08-27,930.489990,930.489990,914.859985,927.950012,926.940796,48300
2018-09-03,921.200012,929.059998,917.219971,928.409973,927.400269,26600
