Name,Sector,Category,,
AMLM American Lithium Minerals Inc,Materials,Other Metals/Minerals,,
AMNL Applied Minerals Inc,Materials,Other Metals/Minerals,,
ARRT Artisan Consumer Goods Inc,Materials,Other Metals/Minerals,,
BLTO Bingo Nation Inc,Materials,Other Metals/Minerals,,
BUSC Blue Star Global Inc,Materials,Other Metals/Minerals,,
CAEN California-Engels Mining Co,Materials,Other Metals/Minerals,,
CCMN Callahan Consolidated Mines Inc,Materials,Other Metals/Minerals,,
CANY Canyon Silver Mines Inc,Materials,Other Metals/Minerals,,
CDIIQ CD International Enterprises Inc,Materials,Other Metals/Minerals,,
LEU Centrus Energy Corp,Materials,Other Metals/Minerals,,
CINR Ciner Resources LP,Materials,Other Metals/Minerals,,
CLAM Classic Mining Corp,Materials,Other Metals/Minerals,,
CGFI Colorado Goldfields Inc,Materials,Other Metals/Minerals,,
COFI Credit One Financial Inc,Materials,Other Metals/Minerals,,
CRRVF CVR Medical Corp,Materials,Other Metals/Minerals,,
DTRC Dakota Territory Resource Corp,Materials,Other Metals/Minerals,,
MDAV Davi Luxury Brand Group Inc,Materials,Other Metals/Minerals,,
DMDD Diamond Discoveries International Corp,Materials,Other Metals/Minerals,,
DSCR Discovery Minerals Ltd,Materials,Other Metals/Minerals,,
DIEN Diversified Energy Holdings Inc,Materials,Other Metals/Minerals,,
DDRIQ Diversified Resources Inc,Materials,Other Metals/Minerals,,
UUUU Energy Fuels Inc,Materials,Other Metals/Minerals,,
ECGI ECGI Holdings Inc,Materials,Other Metals/Minerals,,
EVBC Evolution Blockchain Group Inc,Materials,Other Metals/Minerals,,
FASDF Fantasy Aces Daily Fantasy Sports Corp,Materials,Other Metals/Minerals,,
FBCD Fbc Holding Inc,Materials,Other Metals/Minerals,,
FRMA Firma Holdings Corp,Materials,Other Metals/Minerals,,
FCGD First Colombia Gold Corp,Materials,Other Metals/Minerals,,
GMEI Gambit Energy Inc,Materials,Other Metals/Minerals,,
GMO General Moly Inc,Materials,Other Metals/Minerals,,
GNCP GNCC Capital Inc,Materials,Other Metals/Minerals,,
GPXM Golden Phoenix Minerals Inc,Materials,Other Metals/Minerals,,
GRCV Grand Capital Ventures Inc,Materials,Other Metals/Minerals,,
GMTU Green Mountain Merger Inc,Materials,Other Metals/Minerals,,
GRYO Gryphon Resources Inc,Materials,Other Metals/Minerals,,
HCR Hi-Crush Inc,Materials,Other Metals/Minerals,,
HGHH High Desert Holding Corp,Materials,Other Metals/Minerals,,
HSCM Highland-Surprise Consolidated Mining Co,Materials,Other Metals/Minerals,,
HKGT HK Graphene Technology Corp,Materials,Other Metals/Minerals,,
HSHL Home Solutions Health Inc,Materials,Other Metals/Minerals,,
HZHI Horizons Holdings International Corp,Materials,Other Metals/Minerals,,
IAALF IBC Advanced Alloys Corp,Materials,Other Metals/Minerals,,
IDAM Idarado Mining Co,Materials,Other Metals/Minerals,,
IMGL Image International Group Inc,Materials,Other Metals/Minerals,,
IGEX Indo Global Exchange(s) Pte Ltd,Materials,Other Metals/Minerals,,
INFX Infinex Ventures Inc,Materials,Other Metals/Minerals,,
IFAM Infrastructure Materials Corp,Materials,Other Metals/Minerals,,
IPI Intrepid Potash Inc,Materials,Other Metals/Minerals,,
IWAL iwallet Corp,Materials,Other Metals/Minerals,,
JPEX JPX Global Inc,Materials,Other Metals/Minerals,,
LAKF Lake Forest Minerals Inc,Materials,Other Metals/Minerals,,
LRDR Laredo Resources Corp,Materials,Other Metals/Minerals,,
LBLTF Lattice Biologics Ltd,Materials,Other Metals/Minerals,,
LEGX LegacyXChange Inc,Materials,Other Metals/Minerals,,
LBSR Liberty Star Uranium & Metals Corp,Materials,Other Metals/Minerals,,
LTUM Lithium Corp,Materials,Other Metals/Minerals,,
LKAI LKA Gold Inc,Materials,Other Metals/Minerals,,
LFEX Lucky Friday Extension Mining Co,Materials,Other Metals/Minerals,,
MACR Mascota Resources Corp,Materials,Other Metals/Minerals,,
MTRN Materion Corp,Materials,Other Metals/Minerals,,
BCDS Blaqclouds Inc,Materials,Other Metals/Minerals,,
MDMN Medinah Minerals Inc,Materials,Other Metals/Minerals,,
MERG Merger Mines Corp,Materials,Other Metals/Minerals,,
MTLI Metaline Contact Mines,Materials,Other Metals/Minerals,,
MXSG Mexus Gold US,Materials,Other Metals/Minerals,,
MGCV MGC Ventures Inc,Materials,Other Metals/Minerals,,
MNGG Mining Global Inc,Materials,Other Metals/Minerals,,
MZTAQ Mizati Luxury Alloy Wheels Inc,Materials,Other Metals/Minerals,,
BTFL Monarch America Inc,Materials,Other Metals/Minerals,,
MYSN Myson Group Inc,Materials,Other Metals/Minerals,,
NEXS Nexus Biopharma Inc,Materials,Other Metals/Minerals,,
NIOBF NioCorp Developments Ltd,Materials,Other Metals/Minerals,,
NMCX NMC Inc,Materials,Other Metals/Minerals,,
NAMX North American Exploration Corp Commerce,Materials,Other Metals/Minerals,,
NVES Nvest Inc,Materials,Other Metals/Minerals,,
NYMH NYMET Holdings Inc,Materials,Other Metals/Minerals,,
OPXS Optex Systems Holdings Inc,Materials,Other Metals/Minerals,,
PLLVF Palladon Ventures Ltd,Materials,Other Metals/Minerals,,
PZG Paramount Gold Nevada Corp,Materials,Other Metals/Minerals,,
PTTN Patten Energy Solutions Group Inc,Materials,Other Metals/Minerals,,
PNGM Er Therapeutics Inc,Materials,Other Metals/Minerals,,
PTLF Petlife Pharmaceuticals Inc,Materials,Other Metals/Minerals,,
PTCO PetroGas Co,Materials,Other Metals/Minerals,,
PRCK Placer Creek Mining Co,Materials,Other Metals/Minerals,,
POTG Portage Resources Inc,Materials,Other Metals/Minerals,,
PRMO Prom Resources Inc,Materials,Other Metals/Minerals,,
PGVI Midex Gold Corp,Materials,Other Metals/Minerals,,
PUBC PureBase Corp,Materials,Other Metals/Minerals,,
MMMM Quad M Solutions Inc,Materials,Other Metals/Minerals,,
QTMM Quantum Materials Corp,Materials,Other Metals/Minerals,,
RADR Radium Resources Corp,Materials,Other Metals/Minerals,,
RNBI Bear Oil Co,Materials,Other Metals/Minerals,,
REEMF Rare Element Resources Ltd,Materials,Other Metals/Minerals,,
RGGI Resgreen Group International Inc,Materials,Other Metals/Minerals,,
SSPXF Sandspring Resources Ltd,Materials,Other Metals/Minerals,,
SFEG Santa Fe Gold Corp,Materials,Other Metals/Minerals,,
SANP Santo Mining Corp,Materials,Other Metals/Minerals,,
SCYYF Scandium International Mining Corp,Materials,Other Metals/Minerals,,
FNRC 1st NRG Corp,Materials,Precious Metals,,
DDDX 3DX Industries Inc,Materials,Precious Metals,,
AFYG Affinity Gold Corp,Materials,Precious Metals,,
ALACF Alacer Gold Corp,Materials,Precious Metals,,
ALIAF Alacer Gold Corp,Materials,Precious Metals,,
ASKE Alaska Pacific Energy Corp,Materials,Precious Metals,,
ACNE Alice Consolidated Mines Inc,Materials,Precious Metals,,
AAGC All American Gold Corp,Materials,Precious Metals,,
AMAZ Amazing Energy Oil and Gas Co,Materials,Precious Metals,,
ABML American Battery Metals Corp,Materials,Precious Metals,,
AIVN American International Ventures Inc,Materials,Precious Metals,,
AMNP American Sierra Gold Corp,Materials,Precious Metals,,
ASLM American Silver Mining Co,Materials,Precious Metals,,
AGCZ Andes Gold Corp,Materials,Precious Metals,,
ARNGF Argonaut Gold Inc,Materials,Precious Metals,,
AVTD ArtVentive Medical Group Inc,Materials,Precious Metals,,
AHNR Athena Silver Corp,Materials,Precious Metals,,
ARMZF Aura Minerals Inc,Materials,Precious Metals,,
ARSN Aureus Inc,Materials,Precious Metals,,
AUMC Auryn Mining Corp,Materials,Precious Metals,,
BAYP Bayport International Holdings Inc,Materials,Precious Metals,,
BRGOD Bergio International Inc,Materials,Precious Metals,,
BCLE Highland Holdings International Inc,Materials,Precious Metals,,
BONZ Bonanza Goldfields Corp,Materials,Precious Metals,,
BRVO Bravo Multinational Inc,Materials,Precious Metals,,
BMXI Botanical Research in Motion Labs International Inc,Materials,Precious Metals,,
BFGC Bullfrog Gold Corp,Materials,Precious Metals,,
BKMG Burke Mining Co,Materials,Precious Metals,,
CGLD Buscar Co,Materials,Precious Metals,,
CRSM Carsmartt Inc,Materials,Precious Metals,,
CMXC Cell MedX Corp,Materials,Precious Metals,,
CTDT Centaurus Diamond Technologies Inc,Materials,Precious Metals,,
CCOB Century Cobalt Corp,Materials,Precious Metals,,
CFTN Clifton Mining Co,Materials,Precious Metals,,
CGAC Code Green Apparel Corp,Materials,Precious Metals,,
CDE Coeur Mining Inc,Materials,Precious Metals,,
CGCO Commerce Group Corp,Materials,Precious Metals,,
LODE Comstock Mining Inc,Materials,Precious Metals,,
CSBF Consolidated Biofuels Inc,Materials,Precious Metals,,
CTGO Contango ORE Inc,Materials,Precious Metals,,
CRSXF Corsa Coal Corp,Materials,Precious Metals,,
CWSS Creative Waste Solutions Inc,Materials,Precious Metals,,
DCGD Discovery Gold Corp,Materials,Precious Metals,,
DKMR Duke Mountain Resources Inc,Materials,Precious Metals,,
DGRI Dutch Gold Resources Inc,Materials,Precious Metals,,
DYNR Dynaresource Inc,Materials,Precious Metals,,
EGDD Eastern Goldfields Inc,Materials,Precious Metals,,
ECPN El Capitan Precious Metals Inc,Materials,Precious Metals,,
ELRA Elray Resources Inc,Materials,Precious Metals,,
FERN Fernhill Corp,Materials,Precious Metals,,
FLOD Flowery Gold Mines Company Of Nevada TH,Materials,Precious Metals,,
FOYJ Foy-Johnston Inc,Materials,Precious Metals,,
FMNJ Franklin Mining Inc,Materials,Precious Metals,,
FCX Freeport-McMoRan Inc,Materials,Precious Metals,,
GLLA Gilla Inc,Materials,Precious Metals,,
GBGD Global Gold Corp,Materials,Precious Metals,,
GLDN Gold Dynamics Corp,Materials,Precious Metals,,
GLLK Gold Lakes Corp,Materials,Precious Metals,,
GDRZF Gold Reserve Inc,Materials,Precious Metals,,
GORO Gold Resource Corp,Materials,Precious Metals,,
GMGI Golden Matrix Group Inc,Materials,Precious Metals,,
AUMN Golden Minerals Co,Materials,Precious Metals,,
GRMC Goldrich Mining Co,Materials,Precious Metals,,
GYPHQ Gryphon Gold Corp,Materials,Precious Metals,,
GYGC Guyana Gold Corp,Materials,Precious Metals,,
HXPN Harris Exploration Inc,Materials,Precious Metals,,
"HL,B Hecla Mining Co",Materials,Precious Metals,,
HL Hecla Mining Co,Materials,Precious Metals,,
HKBT HK Battery Technology Inc,Materials,Precious Metals,,
HMLA Homeland Resources Ltd,Materials,Precious Metals,,
SNLM Homestead Gold and Silver Ltd,Materials,Precious Metals,,
HZNM Horizon Minerals Corp,Materials,Precious Metals,,
HDLS Hub Deals Corp,Materials,Precious Metals,,
HGLC Hunt Gold Corp,Materials,Precious Metals,,
HTRC Hunter Creek Mining Co,Materials,Precious Metals,,
HNTM Huntmountain Resources Ltd,Materials,Precious Metals,,
HYCT Hycroft Mining Corp,Materials,Precious Metals,,
IWMG I-Wellness Marketing Group Inc,Materials,Precious Metals,,
IMII Inception Mining Inc,Materials,Precious Metals,,
ILDIA Inspiration Lead Co Inc,Materials,Precious Metals,,
IGRU International Gold Resources Inc,Materials,Precious Metals,,
IPMG International Precious Minerals Group Inc,Materials,Precious Metals,,
ISLV International Silver Inc,Materials,Precious Metals,,
IRLD Ireland Inc,Materials,Precious Metals,,
KPCM King of Pine Creek Mining Co,Materials,Precious Metals,,
LVCA Lake Victoria Mining Company Inc,Materials,Precious Metals,,
LXXGF Lexagene Holdings Inc,Materials,Precious Metals,,
LEXG Lithium Exploration Group Inc,Materials,Precious Metals,,
LSMG Lode-Star Mining Inc,Materials,Precious Metals,,
LSTG Lone Star Gold Inc,Materials,Precious Metals,,
LYDIF Lydian International Ltd,Materials,Precious Metals,,
MAGE Magellan Gold Corp,Materials,Precious Metals,,
MSLM Mascot Mines Inc,Materials,Precious Metals,,
MTMW Matmown Inc,Materials,Precious Metals,,
MISM Mission Mining Co,Materials,Precious Metals,,
MOCI Modern Cinema Group Inc,Materials,Precious Metals,,
NSLM National Silver-Lead Mining Co,Materials,Precious Metals,,
NMNX Nationsmark Nexgen,Materials,Precious Metals,,
NJMC New Jersey Mining Co,Materials,Precious Metals,,
NWGC New World Gold Corp,Materials,Precious Metals,,
AKS AK Steel Holding Corp,Materials,Steel,,
ATI Allegheny Technologies Inc,Materials,Steel,,
CDNN China Industrial Steel Inc,Materials,Steel,,
CLF Cleveland-Cliffs Inc,Materials,Steel,,
GJST Geo Js Tech Group Corp,Materials,Steel,,
GOOI Gooi Global Inc,Materials,Steel,,
GWIO Great Western Iron Ore Properties Inc,Materials,Steel,,
HAYN Haynes International Inc,Materials,Steel,,
MSB Mesabi Trust,Materials,Steel,,
NUE Nucor Corp,Materials,Steel,,
ZEUS Olympic Steel Inc,Materials,Steel,,
RS Reliance Steel & Aluminum Co,Materials,Steel,,
RYI Ryerson Holding Corp,Materials,Steel,,
SCHN Schnitzer Steel Industries Inc,Materials,Steel,,
SMUPF Sims Metal Management Ltd,Materials,Steel,,
SMSMY Sims Metal Management Ltd,Materials,Steel,,
STLD Steel Dynamics Inc,Materials,Steel,,
TMST TimkenSteel Corp,Materials,Steel,,
X United States Steel Corp,Materials,Steel,,
USAP Universal Stainless & Alloy Products Inc,Materials,Steel,,
WEBC Webco Industries Inc,Materials,Steel,,
WOR Worthington Industries Inc,Materials,Steel,,
ARLP Alliance Resource Partners LP,Energy,Coal,,
ANDD ANR Inc,Energy,Coal,,
ARCH Arch Coal Inc,Energy,Coal,,
CLDEQ Cloud Peak Energy Inc,Energy,Coal,,
CLDPQ Cloud Peak Energy Inc,Energy,Coal,,
CCR CONSOL Coal Resources LP,Energy,Coal,,
CEIX CONSOL Energy Inc,Energy,Coal,,
CTRA Contura Energy Inc,Energy,Coal,,
FELP Foresight Energy LP,Energy,Coal,,
HNRG Hallador Energy Co,Energy,Coal,,
KIRY Kiewit Royalty Trust,Energy,Coal,,
MMEX MMEX Resources Corp,Energy,Coal,,
MTEI Mountain Energy Inc,Energy,Coal,,
NRP Natural Resource Partners LP,Energy,Coal,,
BTU Peabody Energy Corp,Energy,Coal,,
METC Ramaco Resources Inc,Energy,Coal,,
RHNO Rhino Resource Partners LP,Energy,Coal,,
SXC SunCoke Energy Inc,Energy,Coal,,
HCC Warrior Met Coal Inc,Energy,Coal,,
WLBAQ Westmoreland Coal Co,Energy,Coal,,
WMLPQ Westmoreland Resource Partners LP,Energy,Coal,,
AMPY Amplify Energy Corp,Energy,Integrated Oil,,
AXPLF Arabella Exploration Inc,Energy,Integrated Oil,,
CVX Chevron Corp,Energy,Integrated Oil,,
CNX CNX Resources Corp,Energy,Integrated Oil,,
ICRMF EON NRG Ltd,Energy,Integrated Oil,,
XOM Exxon Mobil Corp,Energy,Integrated Oil,,
FLMN Falcon Minerals Corp,Energy,Integrated Oil,,
FWDE Fieldwood Energy Inc,Energy,Integrated Oil,,
GDP Goodrich Petroleum Corp,Energy,Integrated Oil,,
HESM Hess Midstream Partners LP,Energy,Integrated Oil,,
JEII Jones Energy II Inc,Energy,Integrated Oil,,
MDMP Mdm Permian Inc,Energy,Integrated Oil,,
NFG National Fuel Gas Co,Energy,Integrated Oil,,
PQEFF Petroteq Energy Inc,Energy,Integrated Oil,,
POGS Pioneer Oil and Gas,Energy,Integrated Oil,,
ROAN Roan Resources Inc,Energy,Integrated Oil,,
SBOW SilverBow Resources Inc,Energy,Integrated Oil,,
TALO Talos Energy Inc,Energy,Integrated Oil,,
VKIN Viking Energy Group Inc,Energy,Integrated Oil,,
XTPT X-tra Petroleum,Energy,Integrated Oil,,
OPMZ 1PM Industries Inc,Energy,Oil & Gas Production,,
ABBY Abby Inc,Energy,Oil & Gas Production,,
AXAS Abraxas Petroleum Corp,Energy,Oil & Gas Production,,
ADNY Adino Energy Corp,Energy,Oil & Gas Production,,
ALME Alamo Energy Corp,Energy,Oil & Gas Production,,
AGGI Allied Energy Inc,Energy,Oil & Gas Production,,
ALOD Allied Resources Inc,Energy,Oil & Gas Production,,
APHE Alpha Energy Inc,Energy,Oil & Gas Production,,
AMRQQ Alta Mesa Resources Inc,Energy,Oil & Gas Production,,
ALTX Altex Industries Inc,Energy,Oil & Gas Production,,
AEDC American Energy Development Corp,Energy,Oil & Gas Production,,
AOIX American Oil & Gas Inc,Energy,Oil & Gas Production,,
AR Antero Resources Corp,Energy,Oil & Gas Production,,
APA Apache Corp,Energy,Oil & Gas Production,,
AREX Approach Resources Inc,Energy,Oil & Gas Production,,
ARET Arete Industries Inc,Energy,Oil & Gas Production,,
AKVA Arkanova Energy Corp,Energy,Oil & Gas Production,,
RKOS Arkose Energy Corp,Energy,Oil & Gas Production,,
ASDN Astro Aerospace Ltd,Energy,Oil & Gas Production,,
ATLS Atlas Energy Group LLC,Energy,Oil & Gas Production,,
ATPGQ ATP Oil & Gas Corp,Energy,Oil & Gas Production,,
AVIX Avix Technologies Inc,Energy,Oil & Gas Production,,
AZGSQ Aztec Oil & Gas Inc,Energy,Oil & Gas Production,,
BEEI Bald Eagle Energy Inc,Energy,Oil & Gas Production,,
BRN Barnwell Industries Inc,Energy,Oil & Gas Production,,
BROE Baron Energy Inc,Energy,Oil & Gas Production,,
BYIN Baying Ecological Holding Group Inc,Energy,Oil & Gas Production,,
BYSD Bayside Corp,Energy,Oil & Gas Production,,
BRY Berry Petroleum Corp,Energy,Oil & Gas Production,,
BLMC Biloxi Marsh Lands Corp,Energy,Oil & Gas Production,,
BLRS BioLife Remedies Inc,Energy,Oil & Gas Production,,
BDGR Black Dragon Resource Companies Inc,Energy,Oil & Gas Production,,
ANFC Black Ridge Oil & Gas Inc,Energy,Oil & Gas Production,,
BKRP Black Rock Petroleum Co,Energy,Oil & Gas Production,,
BSM Black Stone Minerals LP,Energy,Oil & Gas Production,,
BLXX Blox Inc,Energy,Oil & Gas Production,,
BDCO Blue Dolphin Energy Co,Energy,Oil & Gas Production,,
BNKPF Bnk Petroleum Inc,Energy,Oil & Gas Production,,
BCEI Bonanza Creek Energy Inc,Energy,Oil & Gas Production,,
BPT BP Prudhoe Bay Royalty Trust,Energy,Oil & Gas Production,,
BPIGF BPI Energy Holdings Inc,Energy,Oil & Gas Production,,
BNXR Brinx Resources Ltd,Energy,Oil & Gas Production,,
BMIN Britannia Mining Inc,Energy,Oil & Gas Production,,
COG Cabot Oil & Gas Corp,Energy,Oil & Gas Production,,
CABE Calibre Energy Inc,Energy,Oil & Gas Production,,
CRC California Resources Corp,Energy,Oil & Gas Production,,
CPE Callon Petroleum Co,Energy,Oil & Gas Production,,
CEI Camber Energy Inc,Energy,Oil & Gas Production,,
CYRR Canary Resources Inc,Energy,Oil & Gas Production,,
CANX CannAwake Corp,Energy,Oil & Gas Production,,
CETG Capital City Energy Group Inc,Energy,Oil & Gas Production,,
CRZO Carrizo Oil & Gas Inc,Energy,Oil & Gas Production,,
CDEV Centennial Resource Development Inc,Energy,Oil & Gas Production,,
CTNR Central Natural Resources Inc,Energy,Oil & Gas Production,,
CYPE Century Petroleum Corp,Energy,Oil & Gas Production,,
CHAG Chancellor Group Inc,Energy,Oil & Gas Production,,
CHAP Chaparral Energy Inc,Energy,Oil & Gas Production,,
CHK Chesapeake Energy Corp,Energy,Oil & Gas Production,,
CHKDG Chesapeake Energy Corp,Energy,Oil & Gas Production,,
"CHK,D Chesapeake Energy Corp",Energy,Oil & Gas Production,,
CKRGZ Chesapeake Energy Corp,Energy,Oil & Gas Production,,
CHKDH Chesapeake Energy Corp,Energy,Oil & Gas Production,,
"CHK,D Chesapeake Energy Corp",Energy,Oil & Gas Production,,
CHKDG Chesapeake Energy Corp,Energy,Oil & Gas Production,,
CHK Chesapeake Energy Corp,Energy,Oil & Gas Production,,
CHKVP Chesapeake Energy Corp,Energy,Oil & Gas Production,,
CHKR Chesapeake Granite Wash Trust,Energy,Oil & Gas Production,,
CYRS Cheyenne Resources Corp,Energy,Oil & Gas Production,,
XEC Cimarex Energy Co,Energy,Oil & Gas Production,,
COIL Citadel Exploration Inc,Energy,Oil & Gas Production,,
CCRK Coal Creek Co,Energy,Oil & Gas Production,,
CRK Comstock Resources Inc,Energy,Oil & Gas Production,,
CXO Concho Resources Inc,Energy,Oil & Gas Production,,
COP ConocoPhillips,Energy,Oil & Gas Production,,
MCF Contango Oil & Gas Co,Energy,Oil & Gas Production,,
CLR Continental Resources Inc,Energy,Oil & Gas Production,,
CYLC D5 Inc,Energy,Oil & Gas Production,,
CSTJ Creston Resources Ltd,Energy,Oil & Gas Production,,
XBOR Cross Border Resources Inc,Energy,Oil & Gas Production,,
CRT Cross Timbers Royalty Trust,Energy,Oil & Gas Production,,
CYNS Cygnus Oil And Gas Corp,Energy,Oil & Gas Production,,
DLOV Daleco Resources Corp,Energy,Oil & Gas Production,,
DBRM Daybreak Oil and Gas Inc,Energy,Oil & Gas Production,,
DNR Denbury Resources Inc,Energy,Oil & Gas Production,,
DVNGF Devin Energy Corp,Energy,Oil & Gas Production,,
DVN Devon Energy Corp,Energy,Oil & Gas Production,,
FANG Diamondback Energy Inc,Energy,Oil & Gas Production,,
DENR Discovery Energy Corp,Energy,Oil & Gas Production,,
DGAOF Diversified Gas & Oil PLC,Energy,Oil & Gas Production,,
DVFI Diversified Oil and Gas Holdings Ltd,Energy,Oil & Gas Production,,
DMEC Domestic Energy Corp,Energy,Oil & Gas Production,,
DOMR Dominion Resources Black Warrior Trust,Energy,Oil & Gas Production,,
DNRG Dominovas Energy Corp,Energy,Oil & Gas Production,,
DMLP Dorchester Minerals LP,Energy,Oil & Gas Production,,
DYRFF Dunes Exploration Ltd,Energy,Oil & Gas Production,,
EGXP Eagle Exploration Co,Energy,Oil & Gas Production,,
ECCE Eagle Ford Oil & Gas Corp,Energy,Oil & Gas Production,,
CLTS Earth Life Sciences Inc,Energy,Oil & Gas Production,,
ESTE Earthstone Energy Inc,Energy,Oil & Gas Production,,
ECT ECA Marcellus Trust I,Energy,Oil & Gas Production,,
ABLE Able Energy Inc,Energy,Oil Refining/Marketing,,
AE Adams Resources & Energy Inc,Energy,Oil Refining/Marketing,,
AXPT Axis Petroleum Co,Energy,Oil Refining/Marketing,,
CVI CVR Energy Inc,Energy,Oil Refining/Marketing,,
DK Delek US Holdings Inc,Energy,Oil Refining/Marketing,,
ENBL Enable Midstream Partners LP,Energy,Oil Refining/Marketing,,
HFC HollyFrontier Corp,Energy,Oil Refining/Marketing,,
MPC Marathon Petroleum Corp,Energy,Oil Refining/Marketing,,
NS NuStar Energy LP,Energy,Oil Refining/Marketing,,
"NS,A NuStar Energy LP",Energy,Oil Refining/Marketing,,
"NS,B NuStar Energy LP",Energy,Oil Refining/Marketing,,
"NS,C NuStar Energy LP",Energy,Oil Refining/Marketing,,
ONXC Onyx Corp,Energy,Oil Refining/Marketing,,
PARR Par Pacific Holdings Inc,Energy,Oil Refining/Marketing,,
PBF PBF Energy Inc,Energy,Oil Refining/Marketing,,
PBFX PBF Logistics LP,Energy,Oil Refining/Marketing,,
PSX Phillips 66,Energy,Oil Refining/Marketing,,
RTSO RTS Oil Holdings Inc,Energy,Oil Refining/Marketing,,
TRGP Targa Resources Corp,Energy,Oil Refining/Marketing,,
TREC Trecora Resources,Energy,Oil Refining/Marketing,,
USRI USA Recycling Industries Inc,Energy,Oil Refining/Marketing,,
VLO Valero Energy Corp,Energy,Oil Refining/Marketing,,
WES Western Midstream Partners LP,Energy,Oil Refining/Marketing,,
AAN Aaron's Inc,Financial Services,Finance/Rental/Leasing,,
ACY AeroCentury Corp,Financial Services,Finance/Rental/Leasing,,
AGLY Agiliti Inc,Financial Services,Finance/Rental/Leasing,,
AL Air Lease Corp,Financial Services,Finance/Rental/Leasing,,
"AL,A Air Lease Corp",Financial Services,Finance/Rental/Leasing,,
ALLLZ Air Lease Corp,Financial Services,Finance/Rental/Leasing,,
AYR Aircastle Ltd,Financial Services,Finance/Rental/Leasing,,
LTMP Alltemp Inc,Financial Services,Finance/Rental/Leasing,,
AMMX AmeraMex International Inc,Financial Services,Finance/Rental/Leasing,,
UHAL Amerco,Financial Services,Finance/Rental/Leasing,,
ATAX America First Multifamily Investors LP,Financial Services,Finance/Rental/Leasing,,
HIPH American Premium Water Corp,Financial Services,Finance/Rental/Leasing,,
AMTPQ Ameritrans Capital Corp,Financial Services,Finance/Rental/Leasing,,
AMTCQ Ameritrans Capital Corp,Financial Services,Finance/Rental/Leasing,,
ARPC Arem Pacific Corp,Financial Services,Finance/Rental/Leasing,,
ASFZ Associates First Capital Corp,Financial Services,Finance/Rental/Leasing,,
ASFI Asta Funding Inc,Financial Services,Finance/Rental/Leasing,,
ATLC Atlanticus Holdings Corp,Financial Services,Finance/Rental/Leasing,,
AVFL Availent Financial Inc,Financial Services,Finance/Rental/Leasing,,
AVGC Avangard Capital Group Inc,Financial Services,Finance/Rental/Leasing,,
CAR Avis Budget Group Inc,Financial Services,Finance/Rental/Leasing,,
HOPS Between Dandelions Inc,Financial Services,Finance/Rental/Leasing,,
PFH Cabco Trust for JC Penney Debentures,Financial Services,Finance/Rental/Leasing,,
"CAI,A CAI International Inc",Financial Services,Finance/Rental/Leasing,,
CAI CAI International Inc,Financial Services,Finance/Rental/Leasing,,
"CAI,B CAI International Inc",Financial Services,Finance/Rental/Leasing,,
"C,N Citigroup Capital XIII",Financial Services,Finance/Rental/Leasing,,
CFSU Complete Financial Solutions Inc,Financial Services,Finance/Rental/Leasing,,
CCGN Consumer Capital Group Inc,Financial Services,Finance/Rental/Leasing,,
CPSS Consumer Portfolio Services Inc,Financial Services,Finance/Rental/Leasing,,
