Name,Sector,Category,,
AA Alcoa Corp,Materials,Aluminum,,
ARNC Arconic Inc,Materials,Aluminum,,
CENX Century Aluminum Co,Materials,Aluminum,,
DVLP Golden Developing Solutions Inc,Materials,Aluminum,,
KALU Kaiser Aluminum Corp,Materials,Aluminum,,
NORNQ Noranda Aluminum Holding Corp,Materials,Aluminum,,
ORMTQ Ormet Corp,Materials,Aluminum,,
ABVG Affinity Beverage Group Inc,Materials,Construction Materials,,
ASCK Auscrete Corp,Materials,Construction Materials,,
BSND Boston Sand & Gravel Co,Materials,Construction Materials,,
CVIA Covia Holdings Corp,Materials,Construction Materials,,
EXP Eagle Materials Inc,Materials,Construction Materials,,
EMESQ Emerge Energy Services LP,Materials,Construction Materials,,
FRTA Forterra Inc,Materials,Construction Materials,,
HMTC Homasote Co,Materials,Construction Materials,,
IDCN Indocan Resources Inc,Materials,Construction Materials,,
LATX Latitude 360 Inc,Materials,Construction Materials,,
MLM Martin Marietta Materials Inc,Materials,Construction Materials,,
OC Owens Corning,Materials,Construction Materials,,
PKMS Peckham Industries Inc,Materials,Construction Materials,,
PEIW PEI Worldwide Holdings Inc,Materials,Construction Materials,,
SND Smart Sand Inc,Materials,Construction Materials,,
SMID Smith-Midland Corp,Materials,Construction Materials,,
SUM Summit Materials Inc,Materials,Construction Materials,,
MCEMB Monarch Cement Co,Materials,Construction Materials,,
MCEM Monarch Cement Co,Materials,Construction Materials,,
USCR US Concrete Inc,Materials,Construction Materials,,
USLM United States Lime & Minerals Inc,Materials,Construction Materials,,
VMC Vulcan Materials Co,Materials,Construction Materials,,
WWST World Wide Stone Corp,Materials,Construction Materials,,
AZFL Amazonas Florestal Ltd,Materials,Forest Products,,
BWLKF Boardwalktech Software Corp,Materials,Forest Products,,
BCC Boise Cascade Co,Materials,Forest Products,,
KEWL Keweenaw Land Association Ltd,Materials,Forest Products,,
LPX Louisiana-Pacific Corp,Materials,Forest Products,,
POPE Pope Resources A Delaware LP,Materials,Forest Products,,
TREX Trex Company Inc,Materials,Forest Products,,
UFPI Universal Forest Products Inc,Materials,Forest Products,,
ADGO Advantego Corporation,Materials,Other Metals/Minerals,,
AEXE AIM Energy Inc,Materials,Other Metals/Minerals,,
